Отметка времени,Город обучения.,#VALUE!,Курс,"Названия факультета / 
института",Название направления,Нагрузка в ВУЗе,"Качество получаемого образования 
в общем и целом","Оценка
преподавательского состава",Недостатки,"Уровень изучения 
английского языка","Качество получаемого образования
 по иностранным языкам","Уровень изучения
 программирования","Качество получаемого образования
 по программированию","Распределение
 по профилям",После какого курса и как происходит распределение,Студенческая жизнь,Общага,"Ссылка на студента
 Не стесняйся писать ему",
4/20/2025 23:48:21,Москва / область,НИЯУ МИФИ,3,ЛаПлаз,03.03.01 Прикладные математика и физика,"Сейчас нагрузка норм, 20 пар, на первых двух курсах было похуже, экзаменов 4-5 обычно, в этом семестре 5, задавали на первых двух курсах по общефизу, вышмату много, щас задают тоже много, но это никак не проверяется, так что остаётся на твоей совести",5,5,,"На первых двух курсах шикарный уровень, если хочется изучать английский, возможность такая есть затем в конце второго курса сдается экзамен, после экзамена преподавателям и студентам +- пофиг, так что уровень такой себе, но зависит от преподавателя
Выбрать язык нельзя ",5,"Учили си, питон, Фортран, щас чутка плюсы, на других кафедрах (тоже пмф) учат плюсам основательно, на моей не очень, но питон и Фортран на очень хорошем уровне ",5,Да,"После второго курса распределение, подаёшь заявление с приоритетным списком направлений, составляется ранжированных список по баллам, на каждом направлении примерно 20 мест","Есть много различных объединений, каждый найдет себе подходящее","Общежития все отличные, сейчас построили новое общежитие, там супер ремонт и условия, квартирный тип, есть боталки и в новой, и в некоторых старых ",,Физика
,,НИЯУ МИФИ,2,Ифтис,15.03.06 Мехатроника и робототехника,"Примерно 24 пары в неделю, экзаменов от 3 до 5 зависит от курса, зачёт как правило по всем предметам, но они в основном не сильно сложно закрываются",4,4,"Спрашивают иной раз больше, чем дают, но это база","Если английский знаешь хорошо - будет плюсом, но если е особо знаешь, ложе не страшно - есть деление по уровням (углуб, база, основа), но у всех на 2 курсе экзамен по английскому, но если нужна только 3 можно и не сильно английский знать, чтобы его сдать",4,Всё зависит от кафедры и твоего желания. Есть дополнительные курсы и занятия от кафедры. Нас учат на С и С++,4,Нет,Нет,"Есть много различных объединений, каждый найдет себе подходящее","Я живу в коридорке (3 корпус),  по сравнению с остальными общагами - у нас очень хорошие условия. В комнатах живём по 3 человека, каждый день уборщица убирается в общих помещениях: 5 душевых ""кабинки"" (отсека) с шторками, туалет, отдельное помещение с раковинами и комната с 2 стиралками на крыло (половину этажа). В общаги заселяют всех иногородних без проблем",@S24_Veronika_24S,
,,НИЯУ МИФИ,2,Ядерная физика и теплофизика,14.03.01 Ядерная энергетика и теплофизика,"Пар много, нагрузка большая, экзаменов 3-4",4,4,Внешний вид вуза,"Не могу оценить, если чуть знаешь можно забить на него",4,"На моем направлении очень слабый, С++ С",2,Да,После второго,"Есть много различных объединений, каждый найдет себе подходящее","9 общага, новая, условия очень хорошие ",,
4/20/2025 23:54:32,Москва / область,НИЯУ МИФИ,1,ИЯФИТ,14.03.01 Ядерная энергетика и теплофизика,,4,4,"Большинство преподавателей тупо демоны, валят. Предвзято относятя,вприоритет ставят оценки. ","Пока профильного английского нет, будет на 3 курсе, преподают язык на 4",4,"Я не знаю зачем мне языки программирования, если я физик инженер. Преподают нормально если захочешь сам",3,Да,После 2,"Есть много различных объединений, каждый найдет себе подходящее","Есть очень много общаг, всех первачей кроме олимпиадников заселяют в коридорку, где душ туалет и кухня на этаже, чтобы вы социализировались. Но и в коридорке условия нормальные я живу в 3. Впринципе привыкнуть можно, все устраивает. Везде есть боталки",@ilyshkinsss ,Физика
4/21/2025 10:30:51,Москва / область,НИЯУ МИФИ,1,Институт ядерной физики и технологий(ИЯФиТ),"14.05.02 Атомные станции: проектирование, эксплуатация и инжиниринг","Около 20 пар в неделю. Больше всего задают и мучают по математике(матан + линал/ангем), в первом семестре мучали химией, но это надо было просто пережить. В сессию 4 экзамена почти всегда, автоматов не бывает(исключение - информатика)",5,5,"Мне не очень нравится качество преподавания английского, но с другой стороны я рада, что не мучают им. Также была в первом семестре убийственная химия, но это был всего 1 семестр, надо было перетерпеть и все","На 1-2 курсе английский язык обычный, в конце 2 курса экзамен по англ яз на уровень в2+. После 2 курса будет специальный английский. Можно ходить в клуб английского, там играют в мафию и обсуждают книги/фильмы, но у меня пока времени нет на это",3,"Я изучаю язык С. Обучение несколько странное, но тем не менее на минимальный необходимый уровень достаточно легко выучиться. Но для меня это далеко не профильная дисциплина",3,Да,"После 2 курса надо выбрать кафедру, если к направлению относится несколько кафедр. Если на одну кафедру хочет слишком много человек, то туда устраивают конкурс по среднему баллу","Есть много различных объединений, каждый найдет себе подходящее","У меня шикарное новое общежитие, есть все для жизни. Икеевский ремонт, стиральная машина в своей квартире, ванная, два санузла, балкон и тд, и это все на 4х человек ",@Anna_budekova,Физика
4/23/2025 16:45:05,Москва / область,НИЯУ МИФИ,1,Институт физико технических интеллектуальных систем (ИФТИС),15.03.06 Мехатроника и робототехника,"Нагрузка приличная 4-5 пары в день, 21-24 пары в неделю. Достаточно много задают по профильным предметам: матанализу, линалу (в прошлом семестре ангему) и физике, в этом семестре, благо только в нём, появилась ещё и химия. На зимней сессии было 3 экзамена: матанализ, ангем, физика, а на летней будет 5 экзаменов: матанализ, линал, химия, физика и информатика",4,3,"Ожидать, что тебе будут что-то супер понятно объяснять не стоит","Только английский, нас делят на три уровня, но в конце 2 курса все должны сдать экзамен на уровне В2",3,"Всё зависит от кафедры, на моей плохой, но на ИИКСе дают очень много",4,Нет,,"Есть много различных объединений, каждый найдет себе подходящее","Корпус 3, боталка допотопная, но, если очень надо, то можно и позаниматься в ней. Доска, стулья, разетки и столы есть",,Физика
4/14/2025 19:38:20,Москва / область,РГГУ,2,Факультет рекламы и связей с общественностью (факультет маркетинга и рекламы),42.03.01 Реклама и связи с общественностью,"Все сильно зависит от недели. Расписание - это легенда РГГУ, оно очень плавающее. Нагрузка сильно от отдельной недели.  Учимся шестидневку, но иногда бывают дни полностью на дистанте. Учиться легко, преподы сильно не грузят, автоматы ставят хорошо, преподы адекватные, учиться интересно. Иногда можно сессию полностью закрыть автоматами. В среднем в сессию суммарно 10-15 зачетов и экзаменов (экзаменов максимум 5-6). ",5,4,"В принципе мне все нравится, единственное, что не удобно сделано расписание пар. На одной неделе может быть каждый день учебный по 4-6 пар, а на следующей неделе 2-3 дня по нескольку пар. Бывают большие окна между парами, ставят физкультуру между парами с 2 окнами, очень неудобно. Также иногда несправедливо распределена нагрузка на профильные и непрофильные предметы. ","Есть разные группы, распределяемые по уровню языка. Можно дополнительно взять и другой иностранный язык, если на него наберется достаточное количество человек или платно. Качество преподавания очень сильно зависит от отдельного преподавателя. Нам не очень повезло с преподавателем и английский мы изучаем посредственно, но лексика дается очень полезная.",3,На нашем направлении нет программирования,,Нет,-,"Есть много различных объединений, каждый найдет себе подходящее",-,"тг  @Dashanetdora
вк https://vk.com/chertilaovoshnaya",
4/15/2025 21:33:30,Москва / область,РГГУ,2,Факультет журналистики,42.04.02 Журналистика,"Каждый день(кроме сб и вск) ~3-4 пары, нагружают примерно одинаково по всем предметам, так как в основном у нас профильные дисциплины. За сессию ~7 зачетов, ~4-5 экзаменов ",5,5,,"Довольно, англ. яз изучаем, 5 баллов ",3,Не учат ,3,Нет,,"Есть много различных объединений, каждый найдет себе подходящее",,,Обществознание
,,РГУ нефти и газа (НИУ) им. Губкина (РГУНГ),1,Факультет инженерной механики,15.03.01 Машиностроение,"В первом семестре нагрузка небольшая, по 2-3 пары в день в среднем. Во втором по 4 пары стабильно, часто ещё и с обеда до вечера. Больше всего времени придётся тратить на инфу, инжграф, подготовку к лабам по физике и историю(хд), если вы плохо знали её в школе",3,3,"В первом семестре есть такой предмет, как экология. Сдают его с первого раза без долга 10% потока, поэтому удачи. 
На первом курсе слишком насрано непрофильными предметами, поэтому приходится жёстко терпеть. Почти по всем непрофильным преподы будут считать, что их предмет самый важный. 
Тк факультет больше связан с машиностроением и прочим, основной предмет на первом курсе инжграф, по физике и математике часов не особо много, чего я не учёл при поступлении сюда( хоть и сами преподы довольно хорошие по обеим дисциплинам
","Ин яз стартует в унике со 2 курса, в самом начале тебе предложат заполнить форму, где ты в том числе укажешь, какой язык хотел бы изучать дополнительно. Точно знаю, что есть английский, китайский, французский, русский(ну а чо), насчёт остальных не знаю",1,"Информатика это пизда))) в первом семестре у вас будет программирование на питоне, во втором преимущественно эксель и шуть-шуть матлаба. На старших курсах уже профильное программирование в зависимости от специальности (я просто роботостроитель, у меня оно на 3 курсе начнётся). На первом курсе инфа считается непрофильным предметом, до этого года прогали вообще на паскале, но прошлый курс наныл на питон, но лучше бы этого не делал. Паскалю учили с нуля, а питон препод почти не объясняет, аргументируя, что это всё мы должны были хорошо изучать в школе, иначе бы не просили питон. Если на лабах у вас может попасться другой препод и весело закроете их на максимум, то на контрольных вас проверяет лектор)), а проверяет она весело. Любой косяк - баллы летят жёстко. Если ты попытаешься узнать, что не так, даже в полностью рабочем коде, она начнет срать непонятными терминами, которые на лекции понятное дело не озвучивает и пошлёт тебя нахуй. Привожу пример: я написал код по условию, в котором сказано вывести в файл только последнюю строчку, получаю 5/10 , подхожу разбираться, она говорит, что нужно было выводить все строчки, а не только последнюю (в контексте данной проги, это просто Ctrl c Ctrl v 3 раза). Второй пример, у нас на потоке есть челик, который нехило шарит в питоне, делает всем лабы и где-то фрилансит, за его вылизанный код ему поставили 6/10 со словами, чтоб больше не умничал)). 
Но есть хоть что-то положительное - в конце Сема проходит добор баллов, где она уже более лояльна, в семестре можно выполнять разные доп задания на баллы, по типу выступить на лекции с презентацией",1,Нет,,"Есть много различных объединений, каждый найдет себе подходящее","Ох ребята, перваши живут первые 2 месяца по 5-6 человек в комнате, в этом году конечно обещают закончить ремонт и мб всё будет крута, но я сомневаюсь. За остальные условия не шарю, я убежал оттуда спустя 2 дня после заселения",,
,,РГУ нефти и газа (НИУ) им. Губкина (РГУНГ),1,Инженерная Механика ,15.03.01 Машиностроение,"17-18 пар в неделю 
По всем предметам прилично 
В основном (история, инфа, инженерная графика, экология)",3,3,"1) Много бесполезных предметов 
",Не проходим пока что ,1,"Питон 
Особо не учат ",1,Нет,,"Есть много различных объединений, каждый найдет себе подходящее",,,
,,РГУ нефти и газа (НИУ) им. Губкина (РГУНГ),1,Разработка нефтяных и газовых месторождений,21.03.01 Нефтегазовое дело (бак),"Учёба максимально обычная, как и во всех вузах, во время семестра можно даже почилить, а во время сессии кнш придётся поднапрячься. На первом курсе пятидневка, 2экза в 1 семестре и 2 экза во втором семестре. ",5,4,"Единственное что может немного вызвать негатив - это злые преподаватели, которые практически ставят хорошие оценки, поэтому к ним придётся искать подход","Английский язык со второго курса, пока не имел с ним дела",3,Программирование хорошее,4,Нет,,"Есть много различных объединений, каждый найдет себе подходящее","Есть ""учебки"", есть комнаты отдыха, общага обычная, до вуза добираться примерно 50 минут",,
,,РГУ нефти и газа (НИУ) им. Губкина (РГУНГ),1,Факультет разработки нефтяных и газовых месторождений,21.03.01 Нефтегазовое дело (бак),"В сумме пар 18. Задают много по математике, инженерной графике и личностному развитию",4,4,Некоторые преподаватели не знают свой предмет,Английский изучается на 3 курсе,3,"В первом семестре был питон. Пришлось разбираться самой, преподаватели мало что ообъясняют",2,Нет,,"Есть много различных объединений, каждый найдет себе подходящее","Блочная система,есть три учебных комнаты, и две комнаты отдыха",https://vk.com/id324320882,
6/1/2023 18:15:31,Москва / область,РГУ нефти и газа (НИУ) им. Губкина (РГУНГ),1,Разработка нефтяных месторождений,21.03.01 Нефтегазовое дело (бак),"Есть нижняя и верхняя неделя , на одной неделе жестко бьют , много пар , на другой можно спать неделю в общаге ",4,4,Твой средний балл зависит от преподавателя и отношения к тебе ,Английский со 2 курса,2,"Была информатика только 1 семестр , обучили базовому питону и экселю ",3,Нет,,"Есть много различных объединений, каждый найдет себе подходящее",Есть 🪳 ,https://vk.com/balaklavaq,
,,РГУ нефти и газа (НИУ) им. Губкина (РГУНГ),2,Факультет разработки нефтяных и газовых месторождений,21.03.01 Нефтегазовое дело (бак),"В среднем по 4 пары в день, в неделю около 20. Больше всего задают по математике,обычно все зависит от преподавателя. Количество экзаменов тоже зависит от семестра ( экзаменов около 4, диф зачетов где-то 3-4, может и больше)",4,4,"Есть преподаватели,которые у себя на уме, нужно находить к ним подход, но это во всех вузах)","Английский будет три семестра( два диф зачета, один экз) У меня сейчас первый семестр англ, он тут технический, повторяешь грамматику, пополняешь словарный запас терминами, связанными с нефтянкой(закрыть его несложно). Ее есть платные курсы английского, выпустишься с корочкой переводчика в газонефтяном деле",4,"Информатика была два семестра, экзамен и обычный зачет. Изучают эксель, питон, и матлаб. К преподавателям можно обращаться, но они достаточно противные",4,Да,"Уже на втором курсе по некоторым предметам есть деление (физика НЕФТЯНОГО пласта, оборудование для НЕФТЯНЫХ и ГАЗОВЫХ скважин и тд)","Есть много различных объединений, каждый найдет себе подходящее","Здесь студгородок, разработка занимает отдельную общагу, платим за полгода где-то 10к, три учебки, и вроде две комнаты активистов. В блоке живут минимум 6 человек (блок: двушка(там живут двое) и трешка( там живут минимум 3-4 человека))",https://vk.com/id324320882,
,,РГУ нефти и газа (НИУ) им. Губкина (РГУНГ),2,Факультет Разработки Нефтяных и Газовых Месторождений,21.03.01 Нефтегазовое дело (бак),"В среднем по 13-17 пар в неделю, учёба не сложная, преподаватели в большинстве понимающие, если есть способность учиться, то трудностей не будет",5,5,Общежитие на 4/10(старое и селят больше человек чем должно проживать в комнате),Есть профильный англ; можно изучать другой язык; качество получаемого материала хорошее 4/5,4,"Распространён питон, но на факультетах програмирования изучают и с++",4,Нет,,"Есть много различных объединений, каждый найдет себе подходящее","4/10; общежитие советского типа; условия довольно трудные, не многие справляются",,
,,РГУ нефти и газа (НИУ) им. Губкина (РГУНГ),2,Факультет разработки нефтяных и газовых месторождений,21.03.01 Нефтегазовое дело (бак),"2-3 пары в день, примерно 15 в неделю. Есть верхняя и нижняя неделя, на одной неделе отдых, на другой больновато. Домашки так-то не задают, в основном, баллы за кр, к которым нужно готовиться. В среднем 3 экзамена, зачеты до сессий, не больше 1 устного зачета за семестр. Сложнее всего на профильных предметах, походу хотят чему-то научить и спрашивают много...",5,4,"Твоя оценка зависит строго от препода, но я думаю так везде.","Если хотеть изучать английский, то можно спокойно, я что-то не очень пока его изучаю, он начинается с 4 семестра.",4,"Ну на нефтегазе программирование не является приоритетом, просто базу объясняют немного. Питон, матлаб и эксель есть.",3,Нет,,"Есть много различных объединений, каждый найдет себе подходящее","Академика Волгина 2к2, ну общаги не прям сок, но как по мне, главное, это соседи, остальное приживётся, все-таки на севере потом работать... 3 учебные комнаты, места всегда есть. Ко всему можно привыкнуть, общаги дают абсолютно всем бюджетникам.",https://vk.com/balaklavaq,
,,РГУ нефти и газа (НИУ) им. Губкина (РГУНГ),1,Факультет разработки нефтяных и газовых месторождений,21.05.00 Нефтегазовое дело (спец),"На специалитете нагрузка значительно сильнее, чем на бакалавриате - едва успеваю работать и при этом закрываться на 4-5; тем не менее, чувствуется разница в знаниях и уровне преподавания (по базовым предметам (математика, физика) специалистам стараются давать преподавателей получше)
Поначалу многие предметы непонятны, однако нужно лишь не отставать и стараться изучать дополнительно ",4,4,"Предвзятость преподавателей
Равнодушие к проблемам студентов
Переоценённое значение гуманитарных предметов в программе","Английский начинается со старших курсов (английский в принципе и профильный)
Есть бесплатные студенческие языковые клубы",5,"Для моей специальности высокий уровень навыков не нужен, поэтому базовая информатика длилась один семестр, работали в Excel и Python, вроде всё ок",4,Да,Сразу (разные профили специальности при поступлении),"Есть много различных объединений, каждый найдет себе подходящее","Общежитие на Академика Волгина, 2/2
Ужасное состояние комнат, долгое время жил вшестером в трёхместной комнате
Есть учебные комнаты на трёх этажах, они в приемлемом состоянии",,
6/1/2023 18:50:40,Москва / область,РГУ нефти и газа (НИУ) им. Губкина (РГУНГ),1,"Факультет проектирования, сооружения и эксплуатации систем трубопроводного транспорта",21.05.00 Нефтегазовое дело (спец),"Нагрузка средняя, во время сессии нагрузка огромная, если ничего не делать в течение семестра. Самые сложные предметы - инфа, матеша и физика (именно в таком порядке). Отчасти что-то может быть легче, это зависит от преподов, которые вам попадутся. ",2,3,"1. Преподавательский состав по околопрофильным дисциплинам (инфа, матеша и физика, например) 
2. Коррупция в вузе
3. Состояние общежития","Пока не было, появляется производственный английский на 3 семестре",2,"2, труба изучает на первом семестре питон, на втором добавляется две среды: матлаб и маткад. Но преподавательский состав по инфе оставляет желать лучшего... ",2,Нет,,"Есть много различных объединений, каждый найдет себе подходящее","В общагах есть учебки, но в них учиться сложно. В университете есть библиотеки отличные, там можно работать, но до 18:00. Можно ездить в обычные библиотеки Москвы, но они тоже не очень. Лично я езжу в Парк Горького в библиотеку музея Гараж, отличное место для работы и учебы. Единственная проблема - количество людей в мае-июне, там иногда бывает сложно найти свободное место. В период с сентября по апрель места есть, поэтому в это время я обитаю там) ",https://vk.com/victordjoke,
6/1/2023 18:38:35,Москва / область,РГУ нефти и газа (НИУ) им. Губкина (РГУНГ),1,"Факультет проектирования, сооружения и эксплуатации систем трубопроводного транспорта",21.05.00 Нефтегазовое дело (спец),"Нагрузка небольшая. Около 15 пар в неделю, но совмещать с работой будет сложно. Наибольшая нагрузка по физике, химии. Всего 2 экзамена по математике и физике",4,4,"Слабовата математика, но тут направление больше про инженерное дело, чем программирование, поэтому ок. Довольно много общеоьразовательных предметов в первом семестре","Английского на первом курсе нет. На втором будет буквально 1 семестр, с английским в ВУЗе туго",1,Программирования нет,1,Нет,,"Есть много различных объединений, каждый найдет себе подходящее","Есть две боталки, место для собраний. Общага блочного типа, пацаны живут в 6, девочки по 4 в комнате. Если повезёт с соседями, то общага неплохая, тараканц будут, но с ними можно бороться",,
6/1/2023 19:35:01,Москва / область,РГУ нефти и газа (НИУ) им. Губкина (РГУНГ),1,Факультет разработки и эксплуатации нефтяных и газовых месторождений ,21.05.00 Нефтегазовое дело (спец),"Нагрузка выше среднего, но все дается не сильно трудно. Экзаменов всегда 4 , пар на неделе 15-20 , больше всего задают по физике и математике ",4,3,,Английский будет 4 семестра начиная с 3 семестра.,,"Изучали питон, но поверхностно.",3,Нет,,"Есть много различных объединений, каждый найдет себе подходящее","Академика волгина 2к2, в целом общежитие неплохо, все удобства есть, но может не повезти с соседями",,
,,РГУ нефти и газа (НИУ) им. Губкина (РГУНГ),1,Факультет разработки нефтяных и газовых месторождений (ФРНиГМ),21.05.00 Нефтегазовое дело (спец),"В среднем учусь по 3-4 пары в день,  4 экзамена у Специалитета, 3 у бакалавриата плюс 1 зачет с оценкой, больше всего мучают бакалавров по физике и  специалитет по матану, в целом обучение не сложной, много свободного времени, лично совмещаю с работой и тренировками пн-сб",5,4,,,4,,4,Да,На специалитете на моей специальности уже на 1-м курсе ты выбираешь проф. уклон: нефть или газ,"Есть много различных объединений, каждый найдет себе подходящее","Общежитие среднее, есть учебные комнаты, кухни общего пользования.
По началу в комнате живут по 3-5 человек, далее уже распределяют, если наладить контакт с комендантами ",,
,,РГУ нефти и газа (НИУ) им. Губкина (РГУНГ),2,Факультет разработки и эксплуатация нефтяных и газовых месторождений,21.05.00 Нефтегазовое дело (спец),"одна неделя-каждый день по 4-5 пар, в другую-2 дня выходных, нагрузка поменьше. Задают по профильным предметам много, экзаменов стабильно 4 в семестр и зачетов от 2 до 4.",4,4,,"Изучается 3 семестра, в последнем экзамен, английским доволен 5 баллов",5,"питон, объясняют плохо, тут 1",1,Да,после 3 курса по группам,"Есть много различных объединений, каждый найдет себе подходящее",-,,
,,РГУ нефти и газа (НИУ) им. Губкина (РГУНГ),1,Разработка нефтяных и газовых месторождений ,21.05.00 Нефтегазовое дело (спец),"17 пар на неделе
Больше всего задают по инженерной графике и математике
4 экзамена в сессии и 1 дифференциальный зачет ",4,3,"1. Физики как таковой нет (преподу пох, он тупо ставит баллы сам)
2. Не учат вообще чертить и понимать чертежи на инжграфе (тк нет лекций)
3. Химия (один из сложнейших предметов) преподается отвратительно - путем чтения текста с презы и всё
4. По инфе конченый препод ни секунды не учил нас программированию и не давал источники - всё ищешь полностью сам. Вообще хз понимает ли она что-то ",Уровень английского В1-В2. В вузе языков нет,1,"Учат питону - уровень пока что базовый (шарю за библиотеки matplotlib, numpy, sqlite3, pandas).
Ничему не учат и не дают источники - всё ищешь полностью сам",2,Нет,,"Есть много различных объединений, каждый найдет себе подходящее",,,
,,РГУ нефти и газа (НИУ) им. Губкина (РГУНГ),4,Разработка нефтяных и газовых месторождений,21.05.00 Нефтегазовое дело (спец),,5,5,,"Изучаю только английский, но можно выбрать и другой иностранный язык, качество преподавания могло быть и лучше",3,"Объясняют все с нуля, MATLAB, python в основном",4,Нет,,"Есть много различных объединений, каждый найдет себе подходящее",,,
,,РГУ нефти и газа (НИУ) им. Губкина (РГУНГ),2,Разработка и эксплуатация нефтяных и газовых месторождений ,21.05.00 Нефтегазовое дело (спец),"Примерно 20 пар в неделю , больше всего требуют по техническим предметам, всегда по 4 экзамена ",4,3,,"Английский неплохой, преподы лояльны, информацию дают хорошо",4,Не интересуюсь программированием и не было его,4,Нет,,"Есть много различных объединений, каждый найдет себе подходящее",Не живу в общежитии ,https://vk.com/8rom_gleb8,
,,РГУ нефти и газа (НИУ) им. Губкина (РГУНГ),1,Разработка нефтяных и газовых месторождений ,21.05.00 Нефтегазовое дело (спец),"По 4 экзамена на летний и зимнюю сессию. Около 32 пар в неделю. Математика, инфа, физика - больше всего дз",4,4,В общежитии так себе условия для учебы,Английский допом,4,"С нуля, питон, матлаб",3,Да,"После 2, на нефть/газ","Есть много различных объединений, каждый найдет себе подходящее",2к2 - плохо,,
6/1/2023 17:56:08,Москва / область,РГУ нефти и газа (НИУ) им. Губкина (РГУНГ),1,Факультет автоматики и вычислительной техники ,27.03.04 Управление в технических системах,"Нагрузка средняя. В первом семестре училась 5 дней в неделю, во втором семестре - 4 дня. Есть факультеты с 6 дневным обучением. В среднем 3-4 пары. Больше всего задают по программированию, физике, математике. Всего обычно 3-4 экзамена, 2 дифзачета.",3,4,,"Прекрасный уровень языка для работы в нефтяной индустрии. Преподаватели хорошие, как и учебное пособие, по которому мы занимаемся. Можно во втором курсе начать обучение на отдельном специальном курсе английского для инженеров. ",5,"Уровень программирования на моем факультете слабый. Слабые преподаватели по информатике, многие из них только недавно перешли на язык питон, ранее писали на делфи. Лично у меня лекции по программированию все ещё  ориентированы на язык делфи. ",3,Нет,,"Есть много различных объединений, каждый найдет себе подходящее","Живу в общежитии на Бутлерова 3, Москва. Всего у РГУ 5 общежития, распределение по факультетам. Тип - блочный, то есть на две комнаты (в одной живет двое, в другой - четверо) туалет и ванная. Кухня адекватная, если повезёт, в комнате будет хороший ремонт. В дальнейшем можно переселиться в двушку. Есть два общежития, в которых условия хуже - не хватает столов, живут по 6 человек) В студгородке есть футбольное/баскетбольное поле, прачка и в ближайшей доступности магазин. Добраться до вуза можно за 40 минут на автобусе без пересадок.",https://vk.com/id177438021,
,,РГУ нефти и газа (НИУ) им. Губкина (РГУНГ),2,Разработка нефтяных и газовых месторождений ,,"Примерно 20 пар в неделю, 4 экзамена в семестр. Учиться не так сложно, если регулярно посещать пары и выполнять все задания",5,5,,"Английский начинается на 2 курсе, длится 1.5 года, профильный начинаем проходить на 3 курсе. Очень хорошие преподаватели",5,"Программирование пока только на 1 курсе на питоне. Но база не потребуется, показывают презентации, где всё объяснено",5,Нет,,"Есть много различных объединений, каждый найдет себе подходящее","Живу на академика волгина 2к2, практически во всех комнатах сделали ремонт. Живём втроём, но в начале семестра могут поселить и по 5. Условия мне нравятся, да ещё и с одногруппниками можно собраться в учебной комнате и порешать какие-то задания. Также в общежити есть комната отдыха, где собирается студсовет ",,
